strategy,capital,annualized_return,post_cost_sharpe,max_drawdown,win_rate,trade_count,capacity_limit_contracts,binding_constraint,participation_cap,margin_cap,max_contracts_cap,drawdown_cap
trend,1000000,0.05179,0.919771,-0.045954,1.0,5,4,participation,4,10,16,7
trend,5000000,0.011533,0.890871,-0.012141,1.0,5,4,participation,4,50,16,35
trend,10000000,0.005854,0.886034,-0.006324,1.0,5,4,participation,4,101,16,71
trend,30000000,0.001972,0.882609,-0.002168,1.0,5,4,participation,4,305,16,215
trend,100000000,0.000594,0.88137,-0.000657,1.0,5,4,participation,4,1017,16,717
spread,1000000,0.00956,0.363396,-0.013662,0.333333,6,2,margin,13,2,20,45
spread,5000000,0.005018,0.279537,-0.014532,0.333333,6,11,margin,13,11,20,225
spread,10000000,0.002525,0.276496,-0.007434,0.333333,6,13,participation,13,22,20,450
spread,30000000,0.000846,0.27439,-0.002517,0.333333,6,13,participation,13,66,20,1350
spread,100000000,0.000254,0.273638,-0.000759,0.333333,6,13,participation,13,221,20,4500
