delivery_month,sample_count,mean,std_dev,min_value,pct_01,pct_05,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,max_value,start_date,end_date
ALL,483,2.501656,3.886272,-6.9,-5.6,-2.6,-2.0,-0.35,2.6,4.4,7.46,10.56,13.0,16.6,2022-11-26,2024-11-25
2301,16,-5.0875,1.034005,-6.9,-6.855,-6.675,-6.5,-5.775,-4.75,-4.45,-3.95,-3.725,-3.545,-3.5,2022-11-26,2022-12-19
2302,16,-1.46875,1.017001,-3.1,-3.025,-2.725,-2.5,-2.3,-1.55,-0.75,-0.45,2.842171e-14,0.72,0.9,2022-12-20,2023-01-11
2303,27,-0.37037,1.951097,-3.0,-2.896,-2.54,-2.22,-1.55,-1.1,0.45,2.24,3.39,4.636,5.0,2023-01-12,2023-02-25
2304,20,-0.5,2.140093,-3.3,-3.281,-3.205,-3.11,-2.45,-0.3,1.05,2.43,2.715,2.943,3.0,2023-02-27,2023-03-25
2305,21,1.395238,2.142073,-2.0,-2.0,-2.0,-1.9,-0.1,2.2,3.2,3.5,3.8,4.2,4.3,2023-03-27,2023-04-25
2306,19,-0.736842,0.91543,-2.1,-2.082,-2.01,-2.0,-1.3,-0.7,-0.15,0.2,0.33,1.266,1.5,2023-04-26,2023-05-25
2307,19,-0.142105,0.616726,-1.0,-0.982,-0.91,-0.74,-0.65,-0.1,0.1,0.34,0.62,1.484,1.7,2023-05-26,2023-06-25
2308,22,3.2,0.749603,2.3,2.342,2.5,2.5,2.7,2.95,3.45,4.52,4.79,4.879,4.9,2023-06-26,2023-07-25
2309,23,7.826087,3.83598,3.7,3.722,3.8,3.92,4.9,6.5,10.3,13.32,13.67,15.962,16.6,2023-07-26,2023-08-25
2310,21,10.490476,1.805244,7.5,7.54,7.7,8.1,8.7,10.7,12.1,12.8,12.8,12.96,13.0,2023-08-28,2023-09-25
2311,16,9.91875,1.884752,6.9,6.96,7.2,7.4,8.9,9.85,11.325,12.4,12.9,13.14,13.2,2023-09-26,2023-10-25
2312,22,1.822727,3.572772,-2.9,-2.774,-2.295,-2.15,-1.6,1.2,5.3,6.89,7.09,7.1,7.1,2023-10-26,2023-11-25
2401,21,-1.328571,1.054582,-3.3,-3.14,-2.5,-2.4,-2.1,-1.6,-0.3,0.0,0.2,0.44,0.5,2023-11-27,2023-12-25
2402,22,-0.636364,1.01115,-2.0,-2.0,-1.99,-1.8,-1.4,-0.7,-0.025,0.29,0.585,1.943,2.3,2023-12-26,2024-01-25
2403,15,1.766667,1.996664,-0.3,-0.258,-0.09,0.0,0.25,1.0,3.7,4.74,5.13,5.186,5.2,2024-01-26,2024-02-25
2404,21,5.361905,1.737088,2.6,2.82,3.7,4.0,4.3,4.9,5.9,7.8,8.3,9.82,10.2,2024-02-26,2024-03-25
2405,21,5.690476,0.726571,4.1,4.2,4.6,4.9,5.2,5.8,6.2,6.6,6.8,6.88,6.9,2024-03-26,2024-04-25
2406,18,3.288889,1.484781,0.3,0.385,0.725,0.87,3.1,3.65,4.1,4.65,5.135,5.747,5.9,2024-04-26,2024-05-25
2407,21,1.87619,0.930003,0.3,0.3,0.3,0.7,0.8,2.0,2.6,2.9,3.2,3.2,3.2,2024-05-27,2024-06-25
2408,22,3.522727,0.66757,2.4,2.442,2.605,2.7,3.1,3.45,4.075,4.48,4.5,4.658,4.7,2024-06-26,2024-07-25
2409,21,2.714286,0.881638,1.0,1.02,1.1,1.7,2.2,2.7,3.2,4.0,4.0,4.16,4.2,2024-07-26,2024-08-25
2410,21,3.614286,0.932355,2.7,2.7,2.7,3.0,3.2,3.4,3.6,4.2,4.5,6.66,7.2,2024-08-26,2024-09-25
2411,17,4.747059,1.64777,2.0,2.192,2.96,3.26,3.6,4.6,5.9,7.0,7.72,8.104,8.2,2024-09-26,2024-10-25
2412,21,2.128571,0.761671,0.8,0.82,0.9,1.2,1.8,2.1,2.6,3.0,3.1,3.82,4.0,2024-10-28,2024-11-25
