contract_leg,delivery_month,sample_count,mean,std_dev,min_value,pct_01,pct_05,pct_10,pct_25,pct_50,pct_75,pct_90,pct_95,pct_99,max_value,start_date,end_date
1-2,ALL,483,2.303106,7.464753,-8.9,-7.6,-5.39,-4.48,-2.45,1.1,4.2,9.48,13.7,35.344,52.2,2022-11-26,2024-11-25
1-2,2301,16,-6.04375,1.962301,-8.9,-8.885,-8.825,-8.65,-7.625,-6.0,-4.175,-3.75,-3.525,-3.105,-3.0,2022-11-26,2022-12-19
1-2,2302,16,-4.175,2.474806,-6.6,-6.6,-6.6,-6.45,-5.5,-4.9,-4.25,-0.65,0.6,1.8,2.1,2022-12-20,2023-01-11
1-2,2303,27,1.396296,4.944265,-4.4,-4.166,-3.5,-3.32,-2.55,-1.0,5.95,7.94,8.14,11.752,13.0,2023-01-12,2023-02-25
1-2,2304,20,-1.67,2.599413,-5.4,-5.343,-5.115,-5.1,-3.8,-1.6,0.525,1.34,1.76,2.672,2.9,2023-02-27,2023-03-25
1-2,2305,21,3.32381,4.693922,-2.8,-2.78,-2.7,-2.2,-1.6,4.6,6.4,9.3,10.8,11.52,11.7,2023-03-27,2023-04-25
1-2,2306,19,-1.852632,1.512308,-4.2,-4.11,-3.75,-3.46,-2.95,-1.8,-1.3,0.34,0.95,1.31,1.4,2023-04-26,2023-05-25
1-2,2307,19,-0.4,1.145038,-2.0,-2.0,-2.0,-1.92,-1.25,-0.2,0.45,0.72,1.26,1.692,1.8,2023-05-26,2023-06-25
1-2,2308,22,0.240909,1.433829,-1.9,-1.816,-1.495,-1.38,-0.7,-0.1,0.9,2.39,2.59,3.232,3.4,2023-06-26,2023-07-25
1-2,2309,23,14.647826,14.074893,3.2,3.288,3.65,4.12,4.5,6.3,21.4,27.7,46.81,51.474,52.2,2023-07-26,2023-08-25
1-2,2310,21,18.914286,11.455099,8.2,8.2,8.2,9.0,10.0,12.1,30.9,36.0,37.7,37.94,38.0,2023-08-28,2023-09-25
1-2,2311,16,7.2375,3.030924,3.3,3.33,3.45,3.5,4.975,7.05,10.2,11.2,11.75,11.87,11.9,2023-09-26,2023-10-25
1-2,2312,22,-0.268182,3.484303,-5.7,-5.427,-4.375,-3.87,-3.2,-0.25,2.15,4.89,5.195,6.464,6.8,2023-10-26,2023-11-25
1-2,2401,21,-3.461905,1.587916,-6.1,-6.06,-5.9,-5.3,-4.5,-3.3,-2.5,-2.0,-0.5,-0.1,0.0,2023-11-27,2023-12-25
1-2,2402,22,-3.3,1.189638,-5.4,-5.337,-5.1,-5.07,-3.85,-3.25,-2.575,-2.1,-1.72,-0.752,-0.5,2023-12-26,2024-01-25
1-2,2403,15,-3.56,2.734123,-6.3,-6.272,-6.16,-5.94,-5.4,-4.6,-2.3,-0.48,1.36,3.152,3.6,2024-01-26,2024-02-25
1-2,2404,21,7.266667,5.536906,-2.0,-1.98,-1.9,-0.3,4.6,7.7,10.6,14.0,14.3,16.3,16.8,2024-02-26,2024-03-25
1-2,2405,21,3.004762,1.410842,0.2,0.32,0.8,1.4,2.3,3.3,3.8,4.4,5.3,5.86,6.0,2024-03-26,2024-04-25
1-2,2406,18,1.261111,2.662847,-3.1,-3.083,-3.015,-2.93,-0.175,1.8,2.9,3.69,4.215,5.643,6.0,2024-04-26,2024-05-25
1-2,2407,21,2.82381,2.518711,-0.3,-0.26,-0.1,0.3,0.8,2.0,5.6,6.4,6.6,7.0,7.1,2024-05-27,2024-06-25
1-2,2408,22,0.772727,2.421566,-5.0,-4.748,-3.765,-3.0,-0.175,1.8,2.4,2.86,2.9,3.295,3.4,2024-06-26,2024-07-25
1-2,2409,21,1.242857,2.813285,-4.6,-4.44,-3.8,-3.6,0.5,1.6,3.9,4.2,4.2,4.36,4.4,2024-07-26,2024-08-25
1-2,2410,21,1.233333,3.025613,-5.5,-5.18,-3.9,-2.9,-1.2,2.8,3.6,4.0,4.1,4.34,4.4,2024-08-26,2024-09-25
1-2,2411,17,9.135294,5.702625,1.9,1.964,2.22,2.3,3.1,8.7,12.0,16.96,19.14,19.588,19.7,2024-09-26,2024-10-25
1-2,2412,21,3.428571,1.285357,1.2,1.26,1.5,1.9,2.9,3.5,4.0,4.5,4.5,6.74,7.3,2024-10-28,2024-11-25
2-3,ALL,483,2.501656,3.886272,-6.9,-5.6,-2.6,-2.0,-0.35,2.6,4.4,7.46,10.56,13.0,16.6,2022-11-26,2024-11-25
2-3,2301,16,-5.0875,1.034005,-6.9,-6.855,-6.675,-6.5,-5.775,-4.75,-4.45,-3.95,-3.725,-3.545,-3.5,2022-11-26,2022-12-19
2-3,2302,16,-1.46875,1.017001,-3.1,-3.025,-2.725,-2.5,-2.3,-1.55,-0.75,-0.45,2.842171e-14,0.72,0.9,2022-12-20,2023-01-11
2-3,2303,27,-0.37037,1.951097,-3.0,-2.896,-2.54,-2.22,-1.55,-1.1,0.45,2.24,3.39,4.636,5.0,2023-01-12,2023-02-25
2-3,2304,20,-0.5,2.140093,-3.3,-3.281,-3.205,-3.11,-2.45,-0.3,1.05,2.43,2.715,2.943,3.0,2023-02-27,2023-03-25
2-3,2305,21,1.395238,2.142073,-2.0,-2.0,-2.0,-1.9,-0.1,2.2,3.2,3.5,3.8,4.2,4.3,2023-03-27,2023-04-25
2-3,2306,19,-0.736842,0.91543,-2.1,-2.082,-2.01,-2.0,-1.3,-0.7,-0.15,0.2,0.33,1.266,1.5,2023-04-26,2023-05-25
2-3,2307,19,-0.142105,0.616726,-1.0,-0.982,-0.91,-0.74,-0.65,-0.1,0.1,0.34,0.62,1.484,1.7,2023-05-26,2023-06-25
2-3,2308,22,3.2,0.749603,2.3,2.342,2.5,2.5,2.7,2.95,3.45,4.52,4.79,4.879,4.9,2023-06-26,2023-07-25
2-3,2309,23,7.826087,3.83598,3.7,3.722,3.8,3.92,4.9,6.5,10.3,13.32,13.67,15.962,16.6,2023-07-26,2023-08-25
2-3,2310,21,10.490476,1.805244,7.5,7.54,7.7,8.1,8.7,10.7,12.1,12.8,12.8,12.96,13.0,2023-08-28,2023-09-25
2-3,2311,16,9.91875,1.884752,6.9,6.96,7.2,7.4,8.9,9.85,11.325,12.4,12.9,13.14,13.2,2023-09-26,2023-10-25
2-3,2312,22,1.822727,3.572772,-2.9,-2.774,-2.295,-2.15,-1.6,1.2,5.3,6.89,7.09,7.1,7.1,2023-10-26,2023-11-25
2-3,2401,21,-1.328571,1.054582,-3.3,-3.14,-2.5,-2.4,-2.1,-1.6,-0.3,0.0,0.2,0.44,0.5,2023-11-27,2023-12-25
2-3,2402,22,-0.636364,1.01115,-2.0,-2.0,-1.99,-1.8,-1.4,-0.7,-0.025,0.29,0.585,1.943,2.3,2023-12-26,2024-01-25
2-3,2403,15,1.766667,1.996664,-0.3,-0.258,-0.09,0.0,0.25,1.0,3.7,4.74,5.13,5.186,5.2,2024-01-26,2024-02-25
2-3,2404,21,5.361905,1.737088,2.6,2.82,3.7,4.0,4.3,4.9,5.9,7.8,8.3,9.82,10.2,2024-02-26,2024-03-25
2-3,2405,21,5.690476,0.726571,4.1,4.2,4.6,4.9,5.2,5.8,6.2,6.6,6.8,6.88,6.9,2024-03-26,2024-04-25
2-3,2406,18,3.288889,1.484781,0.3,0.385,0.725,0.87,3.1,3.65,4.1,4.65,5.135,5.747,5.9,2024-04-26,2024-05-25
2-3,2407,21,1.87619,0.930003,0.3,0.3,0.3,0.7,0.8,2.0,2.6,2.9,3.2,3.2,3.2,2024-05-27,2024-06-25
2-3,2408,22,3.522727,0.66757,2.4,2.442,2.605,2.7,3.1,3.45,4.075,4.48,4.5,4.658,4.7,2024-06-26,2024-07-25
2-3,2409,21,2.714286,0.881638,1.0,1.02,1.1,1.7,2.2,2.7,3.2,4.0,4.0,4.16,4.2,2024-07-26,2024-08-25
2-3,2410,21,3.614286,0.932355,2.7,2.7,2.7,3.0,3.2,3.4,3.6,4.2,4.5,6.66,7.2,2024-08-26,2024-09-25
2-3,2411,17,4.747059,1.64777,2.0,2.192,2.96,3.26,3.6,4.6,5.9,7.0,7.72,8.104,8.2,2024-09-26,2024-10-25
2-3,2412,21,2.128571,0.761671,0.8,0.82,0.9,1.2,1.8,2.1,2.6,3.0,3.1,3.82,4.0,2024-10-28,2024-11-25
3-4,ALL,483,2.747412,3.111978,-17.7,-3.2,-1.4,-0.7,0.5,2.7,4.3,7.08,8.79,10.4,11.8,2022-11-26,2024-11-25
3-4,2301,16,-2.5375,0.78305,-3.4,-3.385,-3.325,-3.25,-3.2,-2.8,-1.875,-1.5,-1.225,-1.045,-1.0,2022-11-26,2022-12-19
3-4,2302,16,-0.375,1.251399,-2.1,-2.085,-2.025,-2.0,-1.425,-0.1,0.35,0.95,1.6,2.08,2.2,2022-12-20,2023-01-11
3-4,2303,27,1.111111,1.461383,-1.4,-1.322,-1.04,-0.72,0.0,1.3,1.85,2.66,3.6,4.418,4.6,2023-01-12,2023-02-25
3-4,2304,20,0.06,1.073803,-1.5,-1.462,-1.31,-1.21,-0.725,0.1,0.8,1.7,1.72,2.024,2.1,2023-02-27,2023-03-25
3-4,2305,21,1.366667,1.203052,-0.7,-0.7,-0.7,-0.7,1.5,1.7,2.1,2.5,2.5,2.74,2.8,2023-03-27,2023-04-25
3-4,2306,19,-0.5,0.588784,-1.4,-1.382,-1.31,-1.14,-0.95,-0.6,-0.05,0.16,0.44,0.728,0.8,2023-04-26,2023-05-25
3-4,2307,19,0.673684,0.977435,-0.3,-0.264,-0.12,-0.1,0.25,0.5,0.9,1.1,1.42,3.724,4.3,2023-05-26,2023-06-25
3-4,2308,22,3.686364,0.490185,2.9,2.9,2.905,3.02,3.4,3.65,4.0,4.29,4.49,4.5,4.5,2023-06-26,2023-07-25
3-4,2309,23,6.373913,2.699363,3.3,3.322,3.4,3.42,3.9,5.7,8.55,10.28,10.5,11.514,11.8,2023-07-26,2023-08-25
3-4,2310,21,8.609524,1.094031,7.0,7.04,7.2,7.4,7.7,8.3,9.5,10.2,10.4,10.4,10.4,2023-08-28,2023-09-25
3-4,2311,16,8.925,1.078579,6.9,6.96,7.2,7.4,8.475,9.0,9.625,10.0,10.45,10.81,10.9,2023-09-26,2023-10-25
3-4,2312,22,2.868182,2.641858,-0.6,-0.474,0.015,0.3,0.55,1.85,5.675,6.28,6.775,7.116,7.2,2023-10-26,2023-11-25
3-4,2401,21,-0.438095,0.723517,-1.7,-1.66,-1.5,-1.4,-0.9,-0.5,-0.1,0.6,0.7,0.78,0.8,2023-11-27,2023-12-25
3-4,2402,22,0.318182,0.843821,-0.8,-0.8,-0.795,-0.69,-0.3,0.1,0.8,1.56,1.695,1.937,2.0,2023-12-26,2024-01-25
3-4,2403,15,2.566667,1.495549,0.8,0.828,0.94,1.12,1.4,2.1,4.0,4.26,4.72,5.504,5.7,2024-01-26,2024-02-25
3-4,2404,21,5.52381,0.562054,4.6,4.6,4.6,5.1,5.1,5.4,6.0,6.1,6.4,6.56,6.6,2024-02-26,2024-03-25
3-4,2405,21,5.87619,1.007425,4.2,4.26,4.5,4.8,5.1,5.9,6.6,7.2,7.4,7.8,7.9,2024-03-26,2024-04-25
3-4,2406,18,4.0,1.242862,1.5,1.568,1.84,2.04,3.625,4.2,4.625,5.7,5.73,5.866,5.9,2024-04-26,2024-05-25
3-4,2407,21,2.7,0.650385,1.7,1.72,1.8,2.0,2.4,2.6,3.0,3.5,4.0,4.08,4.1,2024-05-27,2024-06-25
3-4,2408,22,3.940909,0.667375,2.6,2.642,2.8,2.82,3.55,4.25,4.4,4.5,4.595,4.679,4.7,2024-06-26,2024-07-25
3-4,2409,21,3.080952,0.388097,2.3,2.36,2.6,2.7,2.7,3.1,3.4,3.6,3.6,3.76,3.8,2024-07-26,2024-08-25
3-4,2410,21,3.114286,0.747185,1.9,1.94,2.1,2.5,2.7,3.0,3.5,3.9,3.9,5.02,5.3,2024-08-26,2024-09-25
3-4,2411,17,1.823529,5.044493,-17.7,-14.516,-1.78,2.38,2.9,3.0,3.2,3.44,3.56,3.752,3.8,2024-09-26,2024-10-25
3-4,2412,21,2.085714,0.623928,1.3,1.32,1.4,1.4,1.7,1.8,2.6,2.8,2.8,3.52,3.7,2024-10-28,2024-11-25
4-5,ALL,483,2.780952,2.661663,-1.7,-1.1,-0.69,-0.4,0.5,2.5,4.5,6.6,7.99,9.236,9.8,2022-11-26,2024-11-25
4-5,2301,16,-0.66875,0.512144,-1.7,-1.625,-1.325,-1.15,-0.925,-0.75,-0.475,0.0,0.175,0.355,0.4,2022-11-26,2022-12-19
4-5,2302,16,0.38125,0.984018,-1.7,-1.58,-1.1,-0.75,-0.125,0.5,0.7,1.15,1.575,2.475,2.7,2022-12-20,2023-01-11
4-5,2303,27,0.533333,0.866913,-1.1,-1.048,-0.84,-0.58,0.0,0.5,1.0,1.44,1.64,2.514,2.8,2023-01-12,2023-02-25
4-5,2304,20,0.255,0.817876,-0.8,-0.781,-0.705,-0.7,-0.425,0.1,0.9,1.42,1.605,1.681,1.7,2023-02-27,2023-03-25
4-5,2305,21,1.614286,1.125738,-0.2,-0.16,0.0,0.0,0.8,2.1,2.5,3.0,3.1,3.18,3.2,2023-03-27,2023-04-25
4-5,2306,19,-0.368421,0.305601,-0.9,-0.882,-0.81,-0.8,-0.5,-0.4,-0.15,0.0,0.03,0.246,0.3,2023-04-26,2023-05-25
4-5,2307,19,0.8,0.898146,-0.4,-0.328,-0.04,0.08,0.4,0.8,0.95,1.26,1.75,3.55,4.0,2023-05-26,2023-06-25
4-5,2308,22,3.459091,0.377535,2.6,2.621,2.715,3.01,3.225,3.5,3.8,3.8,3.895,3.979,4.0,2023-06-26,2023-07-25
4-5,2309,23,5.43913,1.85466,3.1,3.122,3.22,3.4,3.55,4.9,7.1,7.8,8.07,8.256,8.3,2023-07-26,2023-08-25
4-5,2310,21,7.785714,1.214613,5.6,5.6,5.6,6.0,7.2,8.0,8.6,9.1,9.2,9.36,9.4,2023-08-28,2023-09-25
4-5,2311,16,8.5625,0.808187,7.2,7.26,7.5,7.7,7.875,8.5,9.2,9.55,9.65,9.77,9.8,2023-09-26,2023-10-25
4-5,2312,22,2.459091,2.288201,-0.3,-0.3,-0.295,-0.19,0.3,1.95,4.8,5.47,5.595,5.916,6.0,2023-10-26,2023-11-25
4-5,2401,21,-0.290476,0.426503,-1.1,-1.08,-1.0,-0.9,-0.5,-0.3,0.1,0.1,0.2,0.52,0.6,2023-11-27,2023-12-25
4-5,2402,22,0.577273,0.947142,-0.9,-0.795,-0.395,-0.29,-0.1,0.35,1.125,2.09,2.195,2.358,2.4,2023-12-26,2024-01-25
4-5,2403,15,2.946667,1.549132,1.4,1.4,1.4,1.44,1.7,2.3,4.85,5.06,5.1,5.1,5.1,2024-01-26,2024-02-25
4-5,2404,21,5.57619,0.613111,4.0,4.14,4.7,4.8,5.2,5.7,5.9,6.3,6.4,6.64,6.7,2024-02-26,2024-03-25
4-5,2405,21,6.419048,0.680896,5.3,5.38,5.7,5.8,5.9,6.2,6.8,7.1,7.7,8.02,8.1,2024-03-26,2024-04-25
4-5,2406,18,4.344444,0.903081,2.8,2.868,3.14,3.27,3.9,4.1,4.85,5.56,5.76,6.032,6.1,2024-04-26,2024-05-25
4-5,2407,21,3.057143,0.771733,1.4,1.54,2.1,2.2,2.7,3.0,3.5,4.1,4.5,4.5,4.5,2024-05-27,2024-06-25
4-5,2408,22,4.272727,0.703178,2.5,2.605,3.02,3.41,3.85,4.45,4.8,4.9,4.995,5.158,5.2,2024-06-26,2024-07-25
4-5,2409,21,2.842857,0.43883,1.9,1.98,2.3,2.3,2.5,2.9,3.1,3.4,3.4,3.4,3.4,2024-07-26,2024-08-25
4-5,2410,21,2.628571,0.679811,1.4,1.4,1.4,2.0,2.2,2.5,3.0,3.5,3.6,3.92,4.0,2024-08-26,2024-09-25
4-5,2411,17,2.529412,0.758918,1.5,1.516,1.58,1.6,2.1,2.3,3.1,3.4,3.8,4.12,4.2,2024-09-26,2024-10-25
4-5,2412,21,1.590476,0.893255,0.0,0.02,0.1,0.7,0.9,1.7,2.2,2.8,2.8,2.96,3.0,2024-10-28,2024-11-25
