trading_date,spread_mid,contracts,price_01,front_contract
2018-07-26,3.7,"sc1903,sc1904",501.9,sc1809
2018-07-27,3.5,"sc1903,sc1904",506.1,sc1809
2018-07-30,0.8,"sc1903,sc1904",507.1,sc1809
2018-07-31,1.0,"sc1903,sc1904",513.9,sc1809
2018-08-01,1.7,"sc1903,sc1904",506.0,sc1809
2018-08-02,0.1,"sc1903,sc1904",501.6,sc1809
2018-08-03,0.8,"sc1903,sc1904",508.8,sc1809
2018-08-06,0.5,"sc1903,sc1904",512.3,sc1809
2018-08-07,6.8,"sc1903,sc1904",534.1,sc1809
2018-08-08,1.2,"sc1903,sc1904",527.2,sc1809
2018-08-09,0.2,"sc1903,sc1904",518.9,sc1809
2018-08-10,0.3,"sc1903,sc1904",520.0,sc1809
2018-08-13,0.4,"sc1903,sc1904",522.5,sc1809
2018-08-14,1.5,"sc1903,sc1904",519.3,sc1809
2018-08-15,1.2,"sc1903,sc1904",519.4,sc1809
2018-08-16,1.1,"sc1903,sc1904",508.0,sc1809
2018-08-17,1.8,"sc1903,sc1904",505.2,sc1809
2018-08-20,0.6,"sc1903,sc1904",493.2,sc1809
2018-08-21,2.4,"sc1903,sc1904",480.5,sc1809
2018-08-22,2.9,"sc1903,sc1904",479.8,sc1809
2018-08-23,3.4,"sc1903,sc1904",485.0,sc1809
2018-08-24,3.0,"sc1903,sc1904",482.1,sc1809
2018-08-27,2.5,"sc1903,sc1904",482.2,sc1809
2018-08-28,3.4,"sc1903,sc1904",486.6,sc1809
2018-08-29,3.2,"sc1903,sc1904",485.7,sc1809
2018-08-30,6.2,"sc1903,sc1904",488.6,sc1809
2018-08-31,5.7,"sc1903,sc1904",488.3,sc1809
2018-09-03,-0.1,"sc1904,sc1905",503.0,sc1810
2018-09-04,-0.9,"sc1904,sc1905",504.6,sc1810
2018-09-05,-0.9,"sc1904,sc1905",505.4,sc1810
2018-09-06,-0.6,"sc1904,sc1905",501.1,sc1810
2018-09-07,-2.1,"sc1904,sc1905",496.7,sc1810
2018-09-10,-0.2,"sc1904,sc1905",498.5,sc1810
2018-09-11,-0.6,"sc1904,sc1905",500.6,sc1810
2018-09-12,-0.1,"sc1904,sc1905",503.6,sc1810
2018-09-13,-0.1,"sc1904,sc1905",515.3,sc1810
2018-09-14,-0.2,"sc1904,sc1905",501.3,sc1810
2018-09-17,-0.7,"sc1904,sc1905",510.3,sc1810
2018-09-18,-1.5,"sc1904,sc1905",507.7,sc1810
2018-09-19,-0.4,"sc1904,sc1905",528.5,sc1810
2018-09-20,-0.3,"sc1904,sc1905",532.4,sc1810
2018-09-21,1.0,"sc1905,sc1906",521.7,sc1811
2018-09-25,1.0,"sc1905,sc1906",540.6,sc1811
2018-09-26,1.5,"sc1905,sc1906",542.6,sc1811
2018-09-27,1.0,"sc1905,sc1906",545.3,sc1811
2018-09-28,2.1,"sc1905,sc1906",548.3,sc1811
2018-10-08,2.0,"sc1905,sc1906",561.2,sc1811
2018-10-10,-0.5,"sc1905,sc1906",583.0,sc1811
2018-10-11,5.1,"sc1905,sc1906",579.7,sc1811
2018-10-12,5.5,"sc1905,sc1906",562.6,sc1811
2018-10-15,6.1,"sc1905,sc1906",563.6,sc1811
2018-10-16,5.6,"sc1905,sc1906",555.3,sc1811
2018-10-17,1.0,"sc1905,sc1906",543.4,sc1811
2018-10-18,-0.5,"sc1905,sc1906",559.3,sc1811
2018-10-19,-0.7,"sc1905,sc1906",551.4,sc1811
2018-10-22,-0.6,"sc1905,sc1906",549.7,sc1811
2018-10-23,-0.5,"sc1905,sc1906",552.7,sc1811
2018-10-24,-1.6,"sc1905,sc1906",572.0,sc1811
2018-10-25,-2.2,"sc1905,sc1906",554.4,sc1811
2018-10-26,0.2,"sc1905,sc1906",577.5,sc1811
2018-10-29,-1.5,"sc1905,sc1906",576.7,sc1811
2018-10-30,-4.2,"sc1905,sc1906",576.7,sc1811
2018-10-31,-4.3,"sc1905,sc1906",573.3,sc1811
2018-11-01,7.2,"sc1906,sc1907",527.8,sc1812
2018-11-02,7.4,"sc1906,sc1907",513.7,sc1812
2018-11-05,8.6,"sc1906,sc1907",507.8,sc1812
2018-11-06,5.4,"sc1906,sc1907",512.2,sc1812
2018-11-07,5.8,"sc1906,sc1907",504.4,sc1812
2018-11-08,6.4,"sc1906,sc1907",502.7,sc1812
2018-11-09,5.6,"sc1906,sc1907",497.8,sc1812
2018-11-12,4.5,"sc1906,sc1907",492.9,sc1812
2018-11-13,3.0,"sc1906,sc1907",491.9,sc1812
2018-11-14,3.1,"sc1906,sc1907",473.8,sc1812
2018-11-15,4.8,"sc1906,sc1907",461.7,sc1812
