trading_date,spread_mid,contracts,price_01,front_contract,contract_leg
2018-07-26,1.2,"sc1809,sc1810",501.9,sc1809,1-2
2018-07-27,1.7,"sc1809,sc1810",506.1,sc1809,1-2
2018-07-30,1.4,"sc1809,sc1810",507.1,sc1809,1-2
2018-07-31,1.8,"sc1809,sc1810",513.9,sc1809,1-2
2018-08-01,1.2,"sc1809,sc1810",506.0,sc1809,1-2
2018-08-02,1.1,"sc1809,sc1810",501.6,sc1809,1-2
2018-08-03,1.9,"sc1809,sc1810",508.8,sc1809,1-2
2018-08-06,1.7,"sc1809,sc1810",512.3,sc1809,1-2
2018-08-07,3.0,"sc1809,sc1810",534.1,sc1809,1-2
2018-08-08,5.5,"sc1809,sc1810",527.2,sc1809,1-2
2018-08-09,6.0,"sc1809,sc1810",518.9,sc1809,1-2
2018-08-10,8.5,"sc1809,sc1810",520.0,sc1809,1-2
2018-08-13,10.1,"sc1809,sc1810",522.5,sc1809,1-2
2018-08-14,8.0,"sc1809,sc1810",519.3,sc1809,1-2
2018-08-15,7.3,"sc1809,sc1810",519.4,sc1809,1-2
2018-08-16,8.2,"sc1809,sc1810",508.0,sc1809,1-2
2018-08-17,7.5,"sc1809,sc1810",505.2,sc1809,1-2
2018-08-20,0.1,"sc1809,sc1810",493.2,sc1809,1-2
2018-08-21,-10.1,"sc1809,sc1810",480.5,sc1809,1-2
2018-08-22,-10.1,"sc1809,sc1810",479.8,sc1809,1-2
2018-08-23,-9.3,"sc1809,sc1810",485.0,sc1809,1-2
2018-08-24,-11.6,"sc1809,sc1810",482.1,sc1809,1-2
2018-08-27,-11.9,"sc1809,sc1810",482.2,sc1809,1-2
2018-08-28,-7.5,"sc1809,sc1810",486.6,sc1809,1-2
2018-08-29,-7.4,"sc1809,sc1810",485.7,sc1809,1-2
2018-08-30,-9.6,"sc1809,sc1810",488.6,sc1809,1-2
2018-08-31,-16.5,"sc1809,sc1810",488.3,sc1809,1-2
2018-09-03,-6.9,"sc1810,sc1811",503.0,sc1810,1-2
2018-09-04,-8.7,"sc1810,sc1811",504.6,sc1810,1-2
2018-09-05,-9.6,"sc1810,sc1811",505.4,sc1810,1-2
2018-09-06,-9.8,"sc1810,sc1811",501.1,sc1810,1-2
2018-09-07,-9.1,"sc1810,sc1811",496.7,sc1810,1-2
2018-09-10,-8.6,"sc1810,sc1811",498.5,sc1810,1-2
2018-09-11,-10.8,"sc1810,sc1811",500.6,sc1810,1-2
2018-09-12,-17.2,"sc1810,sc1811",503.6,sc1810,1-2
2018-09-13,-7.2,"sc1810,sc1811",515.3,sc1810,1-2
2018-09-14,-15.3,"sc1810,sc1811",501.3,sc1810,1-2
2018-09-17,-4.7,"sc1810,sc1811",510.3,sc1810,1-2
2018-09-18,-7.3,"sc1810,sc1811",507.7,sc1810,1-2
2018-09-19,10.5,"sc1810,sc1811",528.5,sc1810,1-2
2018-09-20,8.0,"sc1810,sc1811",532.4,sc1810,1-2
2018-09-21,-9.8,"sc1811,sc1812",521.7,sc1811,1-2
2018-09-25,-9.0,"sc1811,sc1812",540.6,sc1811,1-2
2018-09-26,-10.6,"sc1811,sc1812",542.6,sc1811,1-2
2018-09-27,-9.4,"sc1811,sc1812",545.3,sc1811,1-2
2018-09-28,-8.0,"sc1811,sc1812",548.3,sc1811,1-2
2018-10-08,-8.5,"sc1811,sc1812",561.2,sc1811,1-2
2018-10-10,-4.0,"sc1811,sc1812",583.0,sc1811,1-2
2018-10-11,-3.2,"sc1811,sc1812",579.7,sc1811,1-2
2018-10-12,-7.1,"sc1811,sc1812",562.6,sc1811,1-2
2018-10-15,-5.9,"sc1811,sc1812",563.6,sc1811,1-2
2018-10-16,-10.0,"sc1811,sc1812",555.3,sc1811,1-2
2018-10-17,-13.6,"sc1811,sc1812",543.4,sc1811,1-2
2018-10-18,6.2,"sc1811,sc1812",559.3,sc1811,1-2
2018-10-19,-2.2,"sc1811,sc1812",551.4,sc1811,1-2
2018-10-22,-7.1,"sc1811,sc1812",549.7,sc1811,1-2
2018-10-23,-2.2,"sc1811,sc1812",552.7,sc1811,1-2
2018-10-24,33.5,"sc1811,sc1812",572.0,sc1811,1-2
2018-10-25,16.2,"sc1811,sc1812",554.4,sc1811,1-2
2018-10-26,38.1,"sc1811,sc1812",577.5,sc1811,1-2
2018-10-29,36.4,"sc1811,sc1812",576.7,sc1811,1-2
2018-10-30,37.6,"sc1811,sc1812",576.7,sc1811,1-2
2018-10-31,40.8,"sc1811,sc1812",573.3,sc1811,1-2
2018-11-01,-6.6,"sc1812,sc1901",527.8,sc1812,1-2
2018-11-02,-4.9,"sc1812,sc1901",513.7,sc1812,1-2
2018-11-05,-5.0,"sc1812,sc1901",507.8,sc1812,1-2
2018-11-06,-5.6,"sc1812,sc1901",512.2,sc1812,1-2
2018-11-07,-5.0,"sc1812,sc1901",504.4,sc1812,1-2
2018-11-08,-3.8,"sc1812,sc1901",502.7,sc1812,1-2
2018-11-09,-4.4,"sc1812,sc1901",497.8,sc1812,1-2
2018-11-12,-5.5,"sc1812,sc1901",492.9,sc1812,1-2
2018-11-13,-6.8,"sc1812,sc1901",491.9,sc1812,1-2
2018-11-14,-4.3,"sc1812,sc1901",473.8,sc1812,1-2
2018-11-15,-7.7,"sc1812,sc1901",461.7,sc1812,1-2
2018-11-16,-8.0,"sc1812,sc1901",465.0,sc1812,1-2
2018-11-19,-8.1,"sc1812,sc1901",466.7,sc1812,1-2
2018-11-20,-8.1,"sc1812,sc1901",459.7,sc1812,1-2
2018-11-21,-7.6,"sc1812,sc1901",441.8,sc1812,1-2
2018-11-22,-8.6,"sc1812,sc1901",438.6,sc1812,1-2
2018-11-23,-8.7,"sc1812,sc1901",432.0,sc1812,1-2
2018-11-26,-7.8,"sc1812,sc1901",411.4,sc1812,1-2
2018-11-27,-13.0,"sc1812,sc1901",409.1,sc1812,1-2
2018-11-28,-10.6,"sc1812,sc1901",413.0,sc1812,1-2
2018-11-29,-9.8,"sc1812,sc1901",407.2,sc1812,1-2
2018-11-30,-19.3,"sc1812,sc1901",396.7,sc1812,1-2
2018-12-03,-5.9,"sc1901,sc1902",419.4,sc1901,1-2
2018-12-04,-5.2,"sc1901,sc1902",428.6,sc1901,1-2
2018-12-05,-5.1,"sc1901,sc1902",428.3,sc1901,1-2
2018-12-06,-4.5,"sc1901,sc1902",428.0,sc1901,1-2
2018-12-07,-5.0,"sc1901,sc1902",413.3,sc1901,1-2
2018-12-10,-5.3,"sc1901,sc1902",431.1,sc1901,1-2
2018-12-11,-5.6,"sc1901,sc1902",421.8,sc1901,1-2
2018-12-12,-4.9,"sc1901,sc1902",423.7,sc1901,1-2
2018-12-13,-3.8,"sc1901,sc1902",424.6,sc1901,1-2
2018-12-14,-3.1,"sc1901,sc1902",422.5,sc1901,1-2
2018-12-17,-4.0,"sc1901,sc1902",419.0,sc1901,1-2
2018-12-18,-5.4,"sc1901,sc1902",411.6,sc1901,1-2
2018-12-19,-5.8,"sc1901,sc1902",395.1,sc1901,1-2
2018-12-20,0.3,"sc1901,sc1902",398.1,sc1901,1-2
2018-12-21,10.2,"sc1901,sc1902",400.9,sc1901,1-2
2018-12-24,12.4,"sc1901,sc1902",394.5,sc1901,1-2
2018-12-25,13.8,"sc1901,sc1902",385.0,sc1901,1-2
2018-12-26,13.0,"sc1901,sc1902",374.7,sc1901,1-2
2018-12-27,10.2,"sc1901,sc1902",381.0,sc1901,1-2
2018-12-28,4.2,"sc1901,sc1902",377.0,sc1901,1-2
2019-01-02,-4.0,"sc1902,sc1903",370.7,sc1902,1-2
2019-01-03,-4.5,"sc1902,sc1903",379.8,sc1902,1-2
2019-01-04,-5.2,"sc1902,sc1903",388.7,sc1902,1-2
2019-01-07,-4.7,"sc1902,sc1903",401.4,sc1902,1-2
2019-01-08,-3.2,"sc1902,sc1903",405.1,sc1902,1-2
2019-01-09,-0.8,"sc1902,sc1903",412.2,sc1902,1-2
2019-01-10,0.6,"sc1902,sc1903",423.6,sc1902,1-2
2019-01-11,0.3,"sc1902,sc1903",424.5,sc1902,1-2
2019-01-14,-2.9,"sc1902,sc1903",416.3,sc1902,1-2
2019-01-15,-3.5,"sc1902,sc1903",412.4,sc1902,1-2
2019-01-16,-9.3,"sc1902,sc1903",410.5,sc1902,1-2
2019-01-17,-10.9,"sc1902,sc1903",411.8,sc1902,1-2
2019-01-18,-15.9,"sc1902,sc1903",410.5,sc1902,1-2
2019-01-21,-22.3,"sc1902,sc1903",414.6,sc1902,1-2
2019-01-22,-21.3,"sc1902,sc1903",417.2,sc1902,1-2
2019-01-23,-1.0,"sc1902,sc1903",427.6,sc1902,1-2
2019-01-24,-4.2,"sc1902,sc1903",423.6,sc1902,1-2
2019-01-25,-5.5,"sc1902,sc1903",422.6,sc1902,1-2
2019-01-28,-0.9,"sc1903,sc1904",427.8,sc1903,1-2
2019-01-29,-0.6,"sc1903,sc1904",417.9,sc1903,1-2
2019-01-30,1.4,"sc1903,sc1904",425.2,sc1903,1-2
2019-01-31,1.8,"sc1903,sc1904",431.4,sc1903,1-2
2019-02-01,2.3,"sc1903,sc1904",429.8,sc1903,1-2
2019-02-11,0.1,"sc1903,sc1904",428.2,sc1903,1-2
2019-02-12,-2.4,"sc1903,sc1904",428.7,sc1903,1-2
2019-02-13,-4.0,"sc1903,sc1904",433.3,sc1903,1-2
2019-02-14,-5.4,"sc1903,sc1904",435.9,sc1903,1-2
2019-02-15,-5.3,"sc1903,sc1904",441.7,sc1903,1-2
2019-02-18,-7.0,"sc1903,sc1904",450.6,sc1903,1-2
2019-02-20,-7.2,"sc1903,sc1904",451.2,sc1903,1-2
2019-02-21,-7.9,"sc1903,sc1904",449.6,sc1903,1-2
2019-02-22,-8.1,"sc1903,sc1904",446.4,sc1903,1-2
2019-02-25,-8.2,"sc1903,sc1904",446.3,sc1903,1-2
2019-02-26,-8.5,"sc1903,sc1904",426.8,sc1903,1-2
2019-02-27,-9.7,"sc1903,sc1904",427.3,sc1903,1-2
2019-02-28,-11.4,"sc1903,sc1904",430.1,sc1903,1-2
2019-03-01,-3.6,"sc1904,sc1905",443.0,sc1904,1-2
2019-03-04,-2.3,"sc1904,sc1905",438.4,sc1904,1-2
2019-03-05,-2.8,"sc1904,sc1905",438.4,sc1904,1-2
2019-03-06,-2.3,"sc1904,sc1905",433.8,sc1904,1-2
2019-03-07,-1.1,"sc1904,sc1905",439.7,sc1904,1-2
2019-03-08,-2.1,"sc1904,sc1905",439.9,sc1904,1-2
2019-03-11,-4.2,"sc1904,sc1905",432.9,sc1904,1-2
2019-03-12,-5.3,"sc1904,sc1905",444.9,sc1904,1-2
2019-03-13,-5.6,"sc1904,sc1905",444.2,sc1904,1-2
2019-03-14,-3.3,"sc1904,sc1905",450.4,sc1904,1-2
2019-03-15,-1.6,"sc1904,sc1905",452.2,sc1904,1-2
2019-03-18,0.9,"sc1904,sc1905",450.1,sc1904,1-2
2019-03-19,6.0,"sc1904,sc1905",461.8,sc1904,1-2
2019-03-20,7.5,"sc1904,sc1905",462.5,sc1904,1-2
2019-03-21,6.2,"sc1904,sc1905",466.3,sc1904,1-2
2019-03-22,7.1,"sc1904,sc1905",467.7,sc1904,1-2
2019-03-25,7.7,"sc1904,sc1905",459.0,sc1904,1-2
2019-03-26,5.1,"sc1904,sc1905",459.1,sc1904,1-2
